,city,cd,max_flow,offset,occ_scaler,test_mse,rrse,correlation,test_mse_denorm,rrse_denorm,correlation_denorm
0,Taipeh,0.8905013203620911,0.8983689546585083,0.031198518350720406,2.973782539367676,0.0049154069274663925,0.22550197,0.9917558801983337,9557.748046875,0.22550197,0.9917558804919062
1,Marseille,0.662055492401123,0.8253136873245239,0.027606725692749023,2.975102186203003,0.011567231267690659,0.3833868,0.9803429890585013,22491.869140625,0.3833868,0.9803429897689911
2,Kassel,0.818149983882904,0.8465558290481567,0.027756018564105034,2.972508668899536,0.005090615246444941,0.26882052,0.9804524703773726,9898.431640625,0.26882052,0.9804524701106035
3,Marseille,0.7116063833236694,0.8455042839050293,0.027234461158514023,2.972871780395508,0.01152755692601204,0.38272876,0.9778381635112148,22414.724609375,0.38272876,0.9778381644938623
4,London,0.6744801998138428,0.8534654974937439,0.030106984078884125,2.9742209911346436,0.012381358072161674,0.40003768,0.9814820876593434,24074.896484375,0.40003768,0.9814820886459168
5,Darmstadt,0.8094726800918579,0.7866436839103699,0.026818513870239258,2.976611375808716,0.010126715525984764,0.34919435,0.9778919093747571,19690.865234375,0.34919435,0.9778919091460511
6,Bern,0.8401182293891907,0.7927283048629761,0.022106105461716652,2.9717373847961426,0.005383716430515051,0.25351933,0.9883904138849271,10468.3515625,0.25351933,0.9883904138564735
7,Zurich,0.6981358528137207,0.8841513395309448,0.027982987463474274,2.973815441131592,0.004526994191110134,0.2212415,0.9936824494840995,8802.5009765625,0.2212415,0.9936824491425462
8,Darmstadt,0.765957772731781,0.8070432543754578,0.026767902076244354,2.9787685871124268,0.004656841512769461,0.2367983,0.980432161870584,9054.9814453125,0.2367983,0.9804321620601262
9,Kassel,0.7684437036514282,0.7653350830078125,0.025215057656168938,2.983229875564575,0.01655975915491581,0.4848465,0.9884008016674182,32199.57421875,0.4848465,0.9884008012390265
10,Strasbourg,0.7064966559410095,0.7837739586830139,0.025907771661877632,2.9751219749450684,0.020706646144390106,0.47260714,0.9759828105254089,40262.98046875,0.47260714,0.975982811095546
11,Losangeles,0.6759337782859802,0.8283231258392334,0.02809242345392704,2.977912425994873,0.024983810260891914,0.7179989,0.9040007584882314,48579.703125,0.7179989,0.9040007598807704
12,Hamburg,0.7032800912857056,0.6131948232650757,0.030434587970376015,2.9718127250671387,0.039316486567258835,0.6799441,0.9796011465857587,76448.828125,0.6799441,0.9796011477189626
13,Kassel,0.7933962941169739,0.8627631068229675,0.03508106619119644,2.9820268154144287,0.0036881628911942244,0.22881389,0.9896008113379676,7171.43798828125,0.22881387,0.9896008113638959
14,Zurich,0.734744131565094,0.8490832448005676,0.0261208675801754,2.974998950958252,0.005118817090988159,0.23525909,0.9952209682843906,9953.2685546875,0.23525909,0.9952209684374171
15,Santander,0.7029078602790833,0.8025765419006348,0.02646367810666561,2.972804069519043,0.006310903001576662,0.26103672,0.990666100228967,12271.21875,0.26103672,0.9906660995585918
16,Augsburg,0.8078930377960205,0.8668229579925537,0.02863556332886219,2.976552963256836,0.002918664366006851,0.18351358,0.984164048164653,5675.1884765625,0.18351358,0.9841640482651675
17,Darmstadt,0.7585448622703552,0.6755279302597046,0.02382836677134037,2.9703736305236816,0.015342398546636105,0.42981294,0.964685122784427,29832.48046875,0.42981294,0.9646851221862242
18,Augsburg,0.8482628464698792,0.838280439376831,0.028639283031225204,2.9743754863739014,0.004732487723231316,0.23367965,0.9819291046885337,9202.0712890625,0.23367964,0.9819291049318443
19,Madrid,0.7271396517753601,0.8407378196716309,0.025906816124916077,2.9772322177886963,0.01781640574336052,0.61998,0.9564161510711975,34643.0546875,0.6199799,0.9564161535679024
20,Speyer,0.780272364616394,0.8338011503219604,0.02617834135890007,2.9736294746398926,0.0057858433574438095,0.24248262,0.9899794338084619,11250.265625,0.2424826,0.9899794334644841
21,Strasbourg,0.7130066156387329,0.8061413168907166,0.025818156078457832,2.97580885887146,0.018699202686548233,0.44911438,0.9782543310191204,36359.609375,0.44911435,0.9782543306631494
22,Bordeaux,0.8453254103660583,0.873366117477417,0.02638431452214718,2.9729602336883545,0.005868519656360149,0.25067297,0.9907482606820799,11411.0263671875,0.25067297,0.9907482604659373
23,Santander,0.7957205176353455,0.7506473064422607,0.03502560034394264,2.9739017486572266,0.020049622282385826,0.46527413,0.9769598835061318,38985.42578125,0.46527413,0.9769598842774972
24,Hamburg,0.7323432564735413,0.5802820920944214,0.026538752019405365,2.977811336517334,0.03437387943267822,0.6357702,0.9837085519635091,66838.1953125,0.63577014,0.9837085530039335
25,Augsburg,0.809172511100769,0.8037841320037842,0.0214140173047781,2.9725594520568848,0.005442791152745485,0.2506034,0.9858952269955417,10583.21875,0.2506034,0.9858952270623694
26,Marseille,0.6853588819503784,0.8364357352256775,0.030437985435128212,2.9751501083374023,0.0072066886350512505,0.30261493,0.977852005227501,14013.0263671875,0.30261493,0.9778520057190974
27,Marseille,0.7099226713180542,0.7753996849060059,0.023765461519360542,2.974060535430908,0.013888766057789326,0.42010152,0.981558587950771,27005.96875,0.42010152,0.9815585878548438
28,London,0.664471447467804,0.8525872826576233,0.03352541849017143,2.9806056022644043,0.016572296619415283,0.4628157,0.9620230687129611,32223.951171875,0.4628157,0.9620230692679663
29,Darmstadt,0.7672194838523865,0.8110321164131165,0.02877231501042843,2.9715192317962646,0.004201843403279781,0.2249328,0.9793075901137283,8170.2626953125,0.2249328,0.9793075895976054
30,Zurich,0.6729859709739685,0.8909624218940735,0.036108989268541336,2.9694197177886963,0.004821375943720341,0.22832166,0.9896942222407337,9374.9111328125,0.22832167,0.9896942224075391
31,Santander,0.6656309962272644,0.6277256608009338,0.021677786484360695,2.977790355682373,0.024252399802207947,0.51172096,0.990949347604541,47157.5078125,0.51172096,0.9909493471111215
32,Strasbourg,0.771098792552948,0.8885189890861511,0.029415229335427284,2.9713244438171387,0.013110870495438576,0.3760635,0.9765678743569939,25493.392578125,0.37606344,0.9765678739656111
33,Losangeles,0.6716594099998474,0.8351336717605591,0.026514489203691483,2.9756972789764404,0.023320872336626053,0.6936922,0.9038500105852687,45346.203125,0.6936922,0.9038500060995266
34,Graz,0.7424848079681396,0.8576071262359619,0.026154762133955956,2.97517991065979,0.00447446433827281,0.240396,0.9946130332045358,8700.3583984375,0.240396,0.9946130325950846
35,Taipeh,0.7571059465408325,0.8508763909339905,0.02622869238257408,2.9745595455169678,0.0075281704775989056,0.27907142,0.9923820677085781,14638.1279296875,0.2790714,0.9923820673920475
36,Speyer,0.8602531552314758,0.8384579420089722,0.036071907728910446,2.9705469608306885,0.004144169390201569,0.20521827,0.9894037294869745,8058.11865234375,0.20521827,0.9894037290994891
37,Bremen,0.8296909332275391,0.8437430262565613,0.026924462988972664,2.980013608932495,0.002710548462346196,0.1671958,0.9927973488926518,5270.5185546875,0.16719578,0.9927973490274888
38,London,0.6881594061851501,0.8433133959770203,0.031758151948451996,2.9738411903381348,0.02362620271742344,0.55260366,0.960283360432237,45939.90234375,0.55260366,0.9602833621271993
39,Santander,0.726212739944458,0.8224888443946838,0.02919432520866394,2.977071762084961,0.006149602122604847,0.2576792,0.9894746160442953,11957.576171875,0.2576792,0.9894746160069955
40,Marseille,0.7181174159049988,0.8013167977333069,0.025721652433276176,2.973421573638916,0.019930901005864143,0.5032525,0.9666669132731792,38754.5859375,0.5032525,0.9666669130883604
41,Madrid,0.7107378840446472,0.8370231986045837,0.02949763648211956,2.9801619052886963,0.017758840695023537,0.61897755,0.9807549827870143,34531.125,0.61897755,0.9807549820441195
42,Bordeaux,0.7681545615196228,0.8741092681884766,0.02533293142914772,2.973917007446289,0.008548148907721043,0.30253756,0.991250274134861,16621.423828125,0.30253753,0.9912502742938141
43,London,0.6884382367134094,0.8297847509384155,0.02548552304506302,2.97261643409729,0.016952624544501305,0.46809632,0.9769960097929036,32963.484375,0.46809632,0.9769960111084938
44,Darmstadt,0.7693751454353333,0.8361813426017761,0.025588922202587128,2.98130202293396,0.005487830378115177,0.25705925,0.979023504510668,10670.7958984375,0.25705925,0.9790235053375951
45,Santander,0.772538423538208,0.8263202905654907,0.032850198447704315,2.979443073272705,0.004740642383694649,0.22624262,0.9883923172193477,9217.9267578125,0.2262426,0.9883923170144123
46,Bordeaux,0.6634242534637451,0.8262660503387451,0.028609829023480415,2.97594952583313,0.009257734753191471,0.3148441,0.9935877939207926,18001.17578125,0.3148441,0.9935877931925002
47,London,0.6794278025627136,0.865874171257019,0.0323672890663147,2.9770162105560303,0.013683632016181946,0.4205498,0.9743776684713015,26607.099609375,0.4205498,0.9743776695091928
48,Kassel,0.7884494662284851,0.8443287014961243,0.025476153939962387,2.96909499168396,0.009394477121531963,0.36518556,0.9882516201934737,18267.060546875,0.36518553,0.9882516199983767
49,Santander,0.6939792633056641,0.8085635304450989,0.028528358787298203,2.980211019515991,0.013261319138109684,0.37839833,0.9837237392012306,25785.93359375,0.37839833,0.9837237398065436
50,Hamburg,0.7661428451538086,0.6717928647994995,0.026089150458574295,2.9758429527282715,0.027326369658112526,0.56686133,0.9828468599986936,53134.6875,0.56686133,0.9828468607221365
51,Zurich,0.825955867767334,0.8888911604881287,0.036376405507326126,2.9722297191619873,0.0041960300877690315,0.21300063,0.9925592051712064,8158.9580078125,0.21300064,0.9925592054069798
52,Bordeaux,0.6855586171150208,0.8076096177101135,0.030806580558419228,2.9814772605895996,0.016081757843494415,0.41496357,0.9830947417674432,31270.12890625,0.41496357,0.9830947419151495
53,Graz,0.6624690294265747,0.862751841545105,0.03621181100606918,2.979966878890991,0.00684613361954689,0.29735783,0.9878028700112375,13311.9443359375,0.29735783,0.9878028685814383
54,Augsburg,0.7936801910400391,0.8123685121536255,0.021195609122514725,2.9790375232696533,0.005397485569119453,0.24955823,0.986052170132208,10495.125,0.24955821,0.986052170551538
55,Bordeaux,0.6934522986412048,0.8101245760917664,0.024567965418100357,2.974383592605591,0.020322075113654137,0.4664738,0.9608084046594533,39515.19921875,0.4664738,0.9608084034271418
56,Toulouse,0.8964697122573853,0.8636133670806885,0.03643038868904114,2.9733197689056396,0.023751335218548775,0.607461,0.9391639957005297,46183.22265625,0.607461,0.9391639940129515
57,Augsburg,0.8173204064369202,0.8249541521072388,0.0275117214769125,2.97611665725708,0.005311908200383186,0.24757195,0.9757969564543608,10328.7236328125,0.24757193,0.9757969554711342
58,Bern,0.8532541394233704,0.8489030003547668,0.025705847889184952,2.9692604541778564,0.0027535639237612486,0.18130825,0.989850357427324,5354.1591796875,0.18130824,0.9898503576438067
59,Madrid,0.720811128616333,0.8524631857872009,0.026502372696995735,2.96993350982666,0.014049635268747807,0.5505543,0.9578139938455871,27318.7734375,0.5505543,0.9578139965594239
