,city,cd,max_flow,offset,occ_scaler,test_mse,rrse,correlation,test_mse_denorm,rrse_denorm,correlation_denorm
0,London,0.6586387753486633,0.8591234087944031,0.030637523159384727,2.9840128421783447,0.010659451596438885,0.37117967,0.9885494646318004,20726.73828125,0.37117967,0.9885494643779615
1,Augsburg,0.7978671193122864,0.7739949226379395,0.022159626707434654,2.9801599979400635,0.007885451428592205,0.30164033,0.986381838506335,15332.841796875,0.3016403,0.9863818384000327
2,Strasbourg,0.6662513613700867,0.7712528109550476,0.027599532157182693,2.9782145023345947,0.01639867201447487,0.42058107,0.9825155293091392,31886.349609375,0.42058107,0.982515529292059
3,Augsburg,0.8792081475257874,0.8475102186203003,0.031532127410173416,2.979187250137329,0.0039652069099247456,0.21389915,0.9842832096521066,7710.134765625,0.21389914,0.9842832092076151
4,Madrid,0.7374781370162964,0.8302081227302551,0.023287953808903694,2.979567527770996,0.017459586262702942,0.61374027,0.9664391785549602,33949.24609375,0.61374027,0.9664391789215105
5,Speyer,0.854581356048584,0.7980550527572632,0.024576304480433464,2.9749574661254883,0.0064488244242966175,0.25599858,0.9891626757874497,12539.3974609375,0.25599858,0.98916267490813
6,Hamburg,0.6804772019386292,0.5611900687217712,0.026247501373291016,2.974961996078491,0.03441661596298218,0.63616526,0.9841209273698358,66921.2890625,0.63616526,0.9841209275886906
7,Marseille,0.7306474447250366,0.7974433302879333,0.024103617295622826,2.9779508113861084,0.014127581380307674,0.42369795,0.9811590727304854,27470.333984375,0.42369795,0.9811590730427124
8,London,0.6663591861724854,0.8496565222740173,0.031041963025927544,2.9740819931030273,0.01244813296943903,0.40111497,0.9838955716261176,24204.736328125,0.40111497,0.9838955711402467
9,Graz,0.678846538066864,0.8539318442344666,0.028788410127162933,2.9754583835601807,0.007225772365927696,0.3054913,0.9941293552011713,14050.130859375,0.30549127,0.9941293549552321
10,Kassel,0.8649480938911438,0.8652624487876892,0.03647739812731743,2.9740970134735107,0.0035592657513916492,0.2247799,0.9832254218287595,6920.80322265625,0.22477989,0.9832254208993711
11,Darmstadt,0.7995585799217224,0.8090457916259766,0.03287189081311226,2.974107027053833,0.004156765062361956,0.223723,0.9759939537667618,8082.60986328125,0.223723,0.9759939537850209
12,London,0.7010215520858765,0.8499032258987427,0.03340396657586098,2.976871967315674,0.013460913673043251,0.4171133,0.986968047123165,26174.03515625,0.4171133,0.9869680478882956
13,Madrid,0.696867823600769,0.8174936175346375,0.02399456687271595,2.973863363265991,0.020811986178159714,0.67007655,0.9528312132214536,40467.80859375,0.6700765,0.9528312117715181
14,Kassel,0.7582878470420837,0.8386522531509399,0.031059399247169495,2.9749667644500732,0.004256675019860268,0.24581736,0.9839562323528496,8276.87890625,0.24581735,0.983956232944744
15,Santander,0.7844276428222656,0.8169966340065002,0.025029918178915977,2.977572441101074,0.006674523465335369,0.2684516,0.9897215937661541,12978.2587890625,0.2684516,0.989721593487911
16,Bordeaux,0.7524888515472412,0.7572380304336548,0.025817319750785828,2.9782657623291016,0.028689391911029816,0.5542476,0.9742787467224686,55784.99609375,0.5542476,0.9742787466563393
17,Zurich,0.7363389730453491,0.7562273144721985,0.02647361531853676,2.971529245376587,0.025241447612643242,0.5224187,0.9818363876508278,49080.65625,0.52241874,0.9818363867080204
18,Darmstadt,0.751314103603363,0.8004060983657837,0.028712842613458633,2.9778904914855957,0.004133674781769514,0.22310075,0.9813072566569507,8037.712890625,0.22310075,0.9813072570110992
19,Marseille,0.6975730061531067,0.7964245080947876,0.02835703454911709,2.97663950920105,0.01732625998556614,0.4692182,0.9814702238680787,33689.99609375,0.46921822,0.9814702240603778
