city,test_mse_mean,test_mse_median,test_mse_max,test_mse_min,test_mse_std,rrse_mean,rrse_median,rrse_max,rrse_min,rrse_std,correlation_mean,correlation_median,correlation_max,correlation_min,correlation_std,test_mse_denorm_mean,test_mse_denorm_median,test_mse_denorm_max,test_mse_denorm_min,test_mse_denorm_std,rrse_denorm_mean,rrse_denorm_median,rrse_denorm_max,rrse_denorm_min,rrse_denorm_std,correlation_denorm_mean,correlation_denorm_median,correlation_denorm_max,correlation_denorm_min,correlation_denorm_std
Augsburg,0.0076663987045841,0.0086068529635667,0.0120529606938362,0.0032224413007497,0.0037011212451093936,0.28902905,0.31513622,0.3729263,0.19282736,0.07577473158142693,0.9842419881656069,0.985094259915362,0.9868413668978244,0.977647491195774,0.003038789456633856,14906.90638950893,16735.5703125,23436.34375,6265.86669921875,7196.633994988076,0.28902903,0.31513622,0.3729263,0.19282734,0.07577473047746083,0.9842419880764346,0.98509426008183,0.9868413660935142,0.9776474911961092,0.0030387893281775525
Bern,0.008448854487921457,0.0056778546422719,0.0180596727877855,0.0038526766002178,0.005674493321458365,0.3034534528571428,0.2603527,0.46432802,0.21446244,0.10121146942667116,0.9885108739961603,0.990019773025038,0.9953679239421364,0.9788672026849036,0.005079162328614593,16428.350237165178,11040.2880859375,35116.078125,7491.32666015625,11033.751372578863,0.30345345571428567,0.2603527,0.46432802,0.21446246,0.10121145706336476,0.9885108739696389,0.9900197734391188,0.9953679238820604,0.9788672027158052,0.005079162358297153
Bordeaux,0.010783536625759886,0.0078812846913933,0.0271117370575666,0.0057841935195028,0.0073574342279947875,0.32769933,0.29049703,0.53879297,0.24886546,0.097075598689337,0.9880595032059907,0.9895393302082116,0.993214205307915,0.9744523583837847,0.006264955646021576,20968.01729910714,15324.740234375,52717.34375,11247.05859375,14306.143712789715,0.3276993314285714,0.29049703,0.53879297,0.24886546,0.09707559875271982,0.9880595030130369,0.989539329805352,0.9932142049740754,0.9744523582204988,0.0062649555763305146
Bremen,0.006103780120611101,0.006103780120611101,0.0072660529986023,0.0049415072426199,0.0016437020672335641,0.24974709500000003,0.24974709500000003,0.27374488,0.22574931,0.03393799301391363,0.9866030800089567,0.9866030800089567,0.987276534319895,0.9859296256980182,0.0009524082201677575,11868.47705078125,11868.47705078125,14128.455078125,9608.4990234375,3196.091576934725,0.24974709500000003,0.24974709500000003,0.27374488,0.22574931,0.03393799301391363,0.986603080572692,0.986603080572692,0.9872765347138284,0.9859296264315556,0.0009524079800314187
Darmstadt,0.006704276298276222,0.0068552941083908,0.0108156073838472,0.003399783745408,0.002804577804737119,0.2782715422222222,0.28730682,0.3608763,0.20232919,0.060853917960884775,0.9773780666499577,0.97788844905323,0.9817276055230236,0.97226248653465,0.003355755762736428,13036.110243055555,13329.755859375,21030.375,6610.7001953125,5453.352956587734,0.27827154,0.28730682,0.36087626,0.20232919,0.06085391199584215,0.9773780665213398,0.9778884498443547,0.9817276047634772,0.9722624866133612,0.0033557556178733356
Graz,0.006300797872245261,0.0061334082856774,0.008707302622497,0.0041195717640221,0.001612893605434592,0.283132105,0.28144981,0.3353502,0.23066558,0.03673607420853671,0.990777189957301,0.9915482611684596,0.9954657597786182,0.984336500054206,0.004242066004388165,12251.568701171875,11926.08935546875,16930.890625,8010.29052734375,3136.186010575299,0.283132108,0.281449825,0.3353502,0.23066558,0.036736073914017724,0.9907771897881524,0.9915482612202389,0.9954657595430088,0.9843365004760476,0.00424206589047276
Hamburg,0.018363294890150386,0.0158317456953227,0.0350989438593387,0.007330029271543,0.010706899254328354,0.4475284275,0.430767595,0.6424405,0.29358825,0.1337500990995076,0.9814767593424308,0.9825063148479101,0.9845215154328328,0.9722098809216702,0.004013507274746076,35706.45361328125,30783.9912109375,68248.0390625,14252.853515625,20818.997920877246,0.44752843375,0.43076760999999997,0.6424405,0.29358828,0.13375008711931613,0.9814767598376122,0.9825063153093272,0.9845215158505672,0.9722098808299188,0.004013507467365947
Kassel,0.006941203221989117,0.00755206588655705,0.0106222676113247,0.0032388200052082,0.0028513755588647537,0.30766006166666665,0.32741235,0.38831657,0.21442267,0.06823510827740054,0.9859639775667471,0.9859063747327559,0.9873439030099193,0.9849830683705167,0.000788403976471889,13496.802652994791,14684.591796875,20654.439453125,6297.71484375,5544.349208845715,0.3076600466666667,0.32741232,0.38831657,0.21442267,0.06823510081374591,0.9859639770103139,0.9859063739553868,0.9873439029021148,0.9849830682418316,0.0007884040617494023
London,0.0148344868794083,0.0150241595692932,0.0184081625193357,0.0104705449193716,0.00294783942332749,0.4359301525,0.440645815,0.48777774,0.36787593,0.04410309669988452,0.9756633201882606,0.9756625397742877,0.9900019463204728,0.9606200297285298,0.011008267583132428,28844.875,29213.68359375,35793.69921875,20359.41796875,5731.919570512589,0.43593015625000003,0.440645815,0.48777774,0.36787593,0.04410309956930691,0.9756633203594423,0.9756625402300934,0.9900019456183224,0.9606200302097372,0.011008267236449334
Losangeles,0.019988503151883632,0.0220409911125898,0.0239768642932176,0.0119265923276543,0.0047361702354721215,0.6379259316666667,0.674350055,0.703381,0.49608102,0.0812291174075904,0.926426887772504,0.9272802343247668,0.9436517101629796,0.8975921429040202,0.016657298073938776,38866.591471354164,42857.546875,46621.75,23190.62890625,9209.234846680782,0.6379259133333334,0.67435,0.703381,0.49608102,0.08122910807307804,0.9264268873153175,0.9272802325052798,0.9436517095865188,0.8975921436250114,0.016657297609455224
