city,test_mse_mean,test_mse_median,test_mse_max,test_mse_min,test_mse_std,rrse_mean,rrse_median,rrse_max,rrse_min,rrse_std,correlation_mean,correlation_median,correlation_max,correlation_min,correlation_std,test_mse_denorm_mean,test_mse_denorm_median,test_mse_denorm_max,test_mse_denorm_min,test_mse_denorm_std,rrse_denorm_mean,rrse_denorm_median,rrse_denorm_max,rrse_denorm_min,rrse_denorm_std,correlation_denorm_mean,correlation_denorm_median,correlation_denorm_max,correlation_denorm_min,correlation_denorm_std
Augsburg,0.01358406152576204,0.0119491796940565,0.0229315795004367,0.0084829861298203,0.005682286320489397,0.389662108,0.37131733,0.51439077,0.31286034,0.07829597265624376,0.9817606876125101,0.982088930135745,0.985431138069736,0.9781566371741338,0.0028727827115477772,26413.4890625,23234.546875,44589.24609375,16494.716796875,11048.906434488441,0.38966208399999996,0.3713173,0.5143907,0.31286034,0.07829594531838593,0.981760687256385,0.982088930121137,0.985431138099056,0.9781566363469256,0.0028727830103733496
Bern,0.00844148709438735,0.00847757235169405,0.0135803781449794,0.0049261390231549,0.003122194754030044,0.3129947583333333,0.31796247499999997,0.40264833,0.24250646,0.058076145569522564,0.9886550596836404,0.98853513787612,0.9935031808295876,0.9829007109795932,0.003718657814672053,16414.025065104168,16484.19140625,26406.328125,9578.6171875,6070.942838445328,0.3129947583333333,0.31796246,0.40264836,0.24250646,0.05807615324952658,0.9886550597756459,0.9885351379529841,0.993503181099792,0.9829007109219738,0.003718657953009116
Bordeaux,0.015582613833248559,0.0144448895007371,0.0305494759231805,0.008669463917613,0.008832355726050418,0.39716567199999997,0.3932786,0.5719329,0.30467677,0.10671004899763362,0.9791934066554224,0.9831180414265276,0.9933155840865876,0.95244671561586,0.016563339162529,30299.568359375,28087.322265625,59401.84375,16857.314453125,17174.05052938327,0.397165666,0.3932786,0.5719329,0.30467677,0.10671004887053596,0.9791934058368369,0.9831180410027872,0.9933155834631374,0.9524467140574022,0.016563339670610508
Bremen,0.007365028490312351,0.00506000407040115,0.0161442048847675,0.0031959009356796,0.005918409560875857,0.2616175075,0.22843952,0.4080422,0.18154879,0.10008861881148375,0.9887123751653792,0.9883019785375654,0.9913615676622816,0.9868839759241046,0.0019125945506039774,14320.908203125,9838.91015625,31391.552734375,6214.259765625,11508.034636338747,0.2616174925,0.22843951,0.40804216,0.18154879,0.10008860148389438,0.9887123756528983,0.9883019789674636,0.9913615678379802,0.9868839768386856,0.0019125942895652915
Darmstadt,0.010801216188285986,0.0111097041517496,0.0154013708233833,0.0072828521952033,0.002618256223839241,0.3583761142857143,0.36574984,0.43063822,0.29613084,0.043540742955431935,0.9801559339600647,0.9811038904602192,0.982831174540714,0.974525835245761,0.0028904896024841663,21002.393973214286,21602.234375,29947.15234375,14161.1201171875,5091.060982720624,0.3583761085714286,0.36574984,0.43063822,0.2961308,0.04354075248601263,0.9801559337729818,0.981103890666364,0.9828311746461196,0.9745258343851644,0.0028904900396319226
Graz,0.012798635289072944,0.0117503432556986,0.0190568510442972,0.0087589127942919,0.0036004860534937125,0.40325806285714283,0.38956684,0.49611494,0.33634254,0.05596396709689569,0.9913212958877243,0.9939467094349924,0.9956909651860048,0.9799681720125428,0.005923941218915093,24886.270089285714,22847.919921875,37055.0390625,17031.2421875,7000.955100725062,0.40325807142857145,0.38956684,0.4961149,0.33634254,0.055963950162923166,0.9913212957440667,0.9939467099336546,0.9956909650990076,0.9799681722907172,0.005923941066671097
Hamburg,0.041048742032476784,0.0409522131085395,0.0553052723407745,0.0304016526788473,0.009072750618755792,0.6911791871428571,0.6939442,0.8064346,0.5979081,0.07610845860268242,0.9784042360776907,0.9822828465478228,0.9841139353611008,0.9541561901196948,0.010759252410991915,79817.10825892857,79629.4140625,107538.1796875,59114.3984375,17641.486123848732,0.6911791714285714,0.6939442,0.8064346,0.5979081,0.07610846316730512,0.9784042368270153,0.9822828469836106,0.9841139356146116,0.9541561891505672,0.01075925308177033
Kassel,0.009774307047741232,0.0095964418724179,0.016623692587018,0.0050195869989693,0.003785789124136989,0.36637461555555556,0.36909014,0.4857816,0.26693854,0.071325526562179,0.9855278121186264,0.9895819836241608,0.9917814637754038,0.9719773755460088,0.007283100938745034,19005.623480902777,18659.775390625,32323.892578125,9760.3212890625,7361.2669921249435,0.36637459555555557,0.3690901,0.48578158,0.26693854,0.07132552078911904,0.9855278117446624,0.9895819832759468,0.9917814633663208,0.971977375578333,0.007283100660701312
London,0.017997962888330152,0.017978336662054,0.0207722131162881,0.0152629651129245,0.0024025100646989485,0.4815023475,0.48184979,0.51815313,0.44415668,0.03226419368109002,0.9810159663073617,0.9826690381049008,0.9846968971856171,0.9740288918340276,0.004952661763427549,34996.0849609375,34957.921875,40390.46875,29678.02734375,4671.55424709603,0.4815023475,0.48184979,0.51815313,0.44415668,0.03226419368109002,0.9810159674387128,0.9826690388191441,0.9846968984755284,0.9740288936410344,0.004952661319596888
Losangeles,0.0154804272577166,0.0158359762281179,0.0189882051199674,0.0129784550517797,0.0023567340143087153,0.56389572,0.57163244,0.6259453,0.51749474,0.04255545275069458,0.9076860024760768,0.9000919203884451,0.9383171632696878,0.8852278550629871,0.024361194241093113,30100.8734375,30792.220703125,36921.55859375,25235.919921875,4582.543390360271,0.563895714,0.57163244,0.62594527,0.51749474,0.042555441815037946,0.9076860027043606,0.9000919187076496,0.9383171615326914,0.8852278559687694,0.024361193082880945
